year,month,day,dayoftheweek,time,type1,type2,type3,title,eventtitle,prefecture,place,with,info
2021,12,11,土,,イベント,社員総会,,Twinkle Holy Day♪,夜公演,,神奈川県民ホール,,
2022,2,16,水,,リリース,CD,アルバム,Tarte,,,,,
2022,3,13,日,12:30,特典会,CD,アルバム,Tarte,,東京,某所,アニメイト,
2022,3,13,日,14:30,特典会,CD,アルバム,Tarte,,東京,某所,アニメイト,
2022,3,13,日,16:30,特典会,CD,アルバム,Tarte,,東京,某所,ゲーマーズ,
2022,3,19,土,13:00,特典会,CD,アルバム,Tarte,,大阪,アニメイト大阪日本橋,アニメイト,
2022,3,19,土,15:00,特典会,CD,アルバム,Tarte,,大阪,ゲーマーズなんば店,ゲーマーズ,
2022,3,20,日,12:00,特典会,CD,アルバム,Tarte,オンライン個別トーク会,オンライン,WithLIVE,アニメイト・ゲーマーズ・とらのあな,
2022,4,1,金,,歩み,事務所移籍,,スタイルキューブに復帰,,,,,
2022,8,11,木,,イベント,社員総会,,Birthday Party?2022大阪,昼公演,,森ノ宮ピロティホール,,
2022,8,11,木,,イベント,社員総会,,Birthday Party?2022大阪,夜公演,,森ノ宮ピロティホール,,
2022,8,15,月,,歩み,アーティスト活動,,所属レーベルを日本コロムビアに移籍,,,,,
2022,8,21,日,,イベント,社員総会,,Birthday Party?2022東京,昼公演,,竹芝ニューピアホール,,
2022,8,21,日,,イベント,社員総会,,Birthday Party?2022東京,夜公演,,竹芝ニューピアホール,,
2022,11,19,土,,ライブ,フェス,,ANIMAX MUSIX 2022,,,横浜アリーナ,,
2022,12,10,土,13:30,特典会,CD,シングル,Love∞Vision,「小倉 唯、また会いにいくよ。～Road to 小倉～」トーク＆お渡し会,東京,某所,アニメイト,
2022,12,10,土,16:00,特典会,CD,シングル,Love∞Vision,「小倉 唯、また会いにいくよ。～Road to 小倉～」トーク＆お渡し会,東京,某所,アニメイト,
2022,12,18,日,13:30,特典会,CD,シングル,Love∞Vision,「小倉 唯、また会いにいくよ。～Road to 小倉～」トーク＆お渡し会,東京,某所,ゲーマーズ,
2022,12,18,日,16:00,特典会,CD,シングル,Love∞Vision,「小倉 唯、また会いにいくよ。～Road to 小倉～」トーク＆お渡し会,東京,某所,ゲーマーズ,
2022,12,21,水,,リリース,CD,シングル,Love∞Vision,,,,,
2022,12,28,水,,イベント,社員総会,,ゆいらんらん,昼公演,,日テレらんらんホール,,
2022,12,28,水,,イベント,社員総会,,ゆいらんらん,夜公演,,日テレらんらんホール,,
2023,1,14,土,13:00,特典会,CD,シングル,Love∞Vision,「小倉 唯、また会いにいくよ。～Road to 小倉～」トーク＆お渡し会,愛知,大須第一アメ横ビル,ゲーマーズ,
2023,1,14,土,14:30,特典会,CD,シングル,Love∞Vision,「小倉 唯、また会いにいくよ。～Road to 小倉～」トーク＆お渡し会,愛知,大須第一アメ横ビル,ゲーマーズ,
2023,1,14,土,17:00,特典会,CD,シングル,Love∞Vision,「小倉 唯、また会いにいくよ。～Road to 小倉～」トーク＆お渡し会,愛知,第3太閤ビル,アニメイト,
